id,name,price,description,is_available,maker_id
1,Dell Laptop,999.99,"Powerful and portable laptop with high-performance specifications.",1,1
2,HP Desktop,799.99,"Versatile desktop computer for home and office use.",1,2
3,Lenovo ThinkPad,1299.99,"Premium business laptop with robust features and security.",1,3
4,Apple MacBook Pro,1499.99,"Sleek and powerful laptop designed for creative professionals.",1,4
5,Asus Gaming PC,1699.99,"High-performance gaming PC with advanced graphics and cooling.",1,5
6,Acer Chromebook,299.99,"Affordable and lightweight laptop for web browsing and productivity.",1,6
7,Toshiba Satellite,699.99,"Reliable laptop for everyday computing tasks.",1,7
8,Microsoft Surface Pro,1199.99,"Versatile 2-in-1 device with touch screen and detachable keyboard.",1,8
9,Samsung Notebook,899.99,"Slim and stylish laptop with long battery life.",1,9
10,IBM ThinkCentre,999.99,"Enterprise-grade desktop computer for business environments.",1,10
11,Sony VAIO,1299.99,"Elegant and feature-packed laptop for multimedia and productivity.",1,11
12,MSI Gaming Laptop,1799.99,"High-performance gaming laptop with dedicated graphics and RGB keyboard.",1,12
13,Intel NUC,499.99,"Compact and powerful mini PC for home entertainment and productivity.",1,13
14,Fujitsu Lifebook,999.99,"Reliable and durable laptop for professional use.",1,14
15,VAIO Z,1999.99,"Premium ultraportable laptop with top-tier specifications and design.",1,15
16,Panasonic Toughbook,1499.99,"Rugged and durable laptop for challenging work environments.",1,16
17,LG Ultra PC,1299.99,"Sleek and lightweight laptop with vibrant display and long battery life.",1,17
18,Huawei MateBook,1099.99,"Elegant and powerful laptop with innovative features and performance.",1,18
19,Razer Blade,1999.99,"High-performance gaming laptop with cutting-edge design and features.",1,19
20,Google Pixelbook,999.99,"Premium Chromebook with versatile functionality and seamless integration with Google services.",1,20
21,Dell Desktop,899.99,"High-performance desktop computer for gaming and intensive tasks.",1,1
22,HP Laptop,699.99,"Reliable laptop for everyday use and productivity.",1,2
23,Lenovo Yoga,1099.99,"Flexible 2-in-1 laptop with touchscreen and versatile modes.",1,3
24,Apple iMac,1799.99,"All-in-one desktop computer with stunning display and powerful performance.",1,4
25,Asus VivoBook,599.99,"Affordable and stylish laptop for students and casual users.",1,5
26,Acer Predator,2299.99,"Gaming desktop with high-end components and advanced cooling system.",1,6
27,Toshiba Portégé,1299.99,"Slim and lightweight laptop for professionals on the go.",1,7
28,Microsoft Surface Book,1499.99,"Premium laptop with detachable screen and versatile modes.",1,8
29,Samsung Galaxy Book,999.99,"2-in-1 laptop with AMOLED display and S Pen support.",1,9
30,IBM ThinkPad X1 Carbon,1599.99,"Premium ultrabook with lightweight design and robust security features.",1,10
